mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900457,Roopa Ganguly,Nominated,16-11-2016,24-04-2022,First Term,N/A,N/A,Bharatiya Janata Party,Female,Graduate,"Graduation Educated at Jodhpur Park High School, Ballygunge Siksha Sadan, Beltala Girls' High School, Kolkata and Jogamaya Devi College, University of Calcutta, Kolkata",58,66,0,85,0.827794562, Data corresponds to the period from 01-06-2009 to 21-08-2025.,94.58355894,1.13405059,273.4713848,0.798894513,N/A,N/A,N/A,N/A,Rajya Sabha
900376,Pradip Bhattacharya,Elected,19-08-2017,18-08-2023,Second Term,N/A,West Bengal,Indian National Congress,Male,Post Graduate,"B.A. (Hons.), M.A. Educated at Itagoria High School, SURI Vidyasagar College and Burdwan University, West Bengal",80,109,0,926,0.803149606, Data corresponds to the period from 01-06-2009 to 21-08-2025.,178.8447602,2.378376229,611.9343429,0.798894513,260.5779449,3.8625,502.5429198,0.713256803,Rajya Sabha
900468,Saif-ud-Din Soz,Elected,11-02-2009,10-02-2015,Third Term,N/A,Jammu and Kashmir,Indian National Congress,Male,Post Graduate,"M.A. (Economics) Educated at Jammu and Kashmir University, Srinagar",87,37,0,159,0.87745098, Data corresponds to the period from 01-06-2009 to 21-08-2025.,49.76931183,1.189177366,322.845252,0.798894513,29.83333333,N/A,104.9166667,0.82951221,Rajya Sabha
900015,Abhay Bhardwaj,Elected,22-06-2020,01-12-2020,First Term,N/A,Gujarat,Bharatiya Janata Party,Male,Information not available,Information not available,55,0,N/A,0,N/A, Data corresponds to the period from 01-06-2009 to 21-08-2025.,5.070508196,N/A,7.539790786,N/A,2.5,N/A,3,N/A,Rajya Sabha
900309,Munvvar Saleem,Elected,03-04-2012,02-04-2018,First Term,N/A,Uttar Pradesh,Samajwadi Party,Male,Professional Graduate,"B.A., LL.B. Educated at S.S.L. Jain PG College, Vidisha and Rajeev Gandhi College, Bhopal",65,164,0,53,0.857142857, Data corresponds to the period from 01-06-2009 to 21-08-2025.,76.5291343,1.331050954,332.9466233,0.798894513,92.73269771,0.789247312,290.3589517,0.84305552,Rajya Sabha
900607,M.V. Shreyams Kumar,Elected,25-08-2020,02-04-2022,First Term,N/A,Kerala,Loktantrik Janata Dal,Male,Post Graduate,"Post Graduate Diploma in Business Administration Educated at Kings Langley College of Management, London",58,13,0,145,0.758241758, Data corresponds to the period from 01-06-2009 to 21-08-2025.,34.42412199,0.242110755,77.81638978,0.798894513,48.51388889,0.75,105.0416667,0.795412107,Rajya Sabha
900112,Ch. Sukhram Singh Yadav,Elected,05-07-2016,04-07-2022,First Term,N/A,Uttar Pradesh,Samajwadi Party,Male,Doctorate,"DPA in 1977 from Lucknow University, B.A., M.A., LLB from Lucknow University",73,149,0,1030,0.985754986, Data corresponds to the period from 01-06-2009 to 21-08-2025.,101.6759078,1.197399006,289.8105045,0.798894513,108.6089765,0.267816092,283.8696223,0.84305552,Rajya Sabha
900088,Bhagwati Singh,Elected,05-07-2004,04-07-2010,First Term,N/A,Uttar Pradesh,Samajwadi Party,Male,Graduate,"B.A. Educated at Arjunpur, Sidholi, Sitapur and Lucknow University (Uttar Pradesh)",92,3,0,43,0.917647059, Data corresponds to the period from 01-06-2009 to 21-08-2025.,10.16469479,0.32389617,78.08241781,0.798894513,7.946169355,0.346774194,55.01915323,0.84305552,Rajya Sabha
900426,Ram Narain Dudi,Elected,10-04-2014,09-04-2020,First Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Post Graduate,"M. A. (History) Educated at Jainarayan Vyas University, Jodhpur (Rajasthan)",76,34,0,198,0.946078431, Data corresponds to the period from 01-06-2009 to 21-08-2025.,97.86446071,1.500965027,324.7388369,0.798894513,69.44166667,2.583333333,274.8055556,0.836577527,Rajya Sabha
900029,Ali Anwar Ansari,Elected,03-04-2006,04-12-2017,Second Term,N/A,Bihar,Janata Dal (United),Male,Graduate,"Graduate, Educated at D.K.College, Dumraon and M.V.College, Buxar (Bihar)",71,267,0,103,0.822445561, Data corresponds to the period from 01-06-2009 to 21-08-2025.,95.76789335,1.838833131,477.8029091,0.798894513,135.4998377,0.133928571,452.4958333,0.82334322,Rajya Sabha
